Voltage_V,Current_A,Trace
-1,-1.001000000e-09,clean_diode
-0.95,-9.510000000e-10,clean_diode
-0.9,-9.010000000e-10,clean_diode
-0.85,-8.510000000e-10,clean_diode
-0.8,-8.010000000e-10,clean_diode
-0.75,-7.510000000e-10,clean_diode
-0.7,-7.009999999e-10,clean_diode
-0.65,-6.509999997e-10,clean_diode
-0.6,-6.009999989e-10,clean_diode
-0.55,-5.509999966e-10,clean_diode
-0.5,-5.009999893e-10,clean_diode
-0.45,-4.509999665e-10,clean_diode
-0.4,-4.009998946e-10,clean_diode
-0.35,-3.509996690e-10,clean_diode
-0.3,-3.009989600e-10,clean_diode
-0.25,-2.509967327e-10,clean_diode
-0.2,-2.009897351e-10,clean_diode
-0.15,-1.509677511e-10,clean_diode
-0.1,-1.008986843e-10,clean_diode
-0.05,-5.068169881e-11,clean_diode
0,0.000000000e+00,clean_diode
0.05,5.214167844e-11,clean_diode
0.1,1.088701434e-10,clean_diode
0.15,1.800088167e-10,clean_diode
0.2,2.964197307e-10,clean_diode
0.25,5.550614673e-10,clean_diode
0.3,1.260546712e-09,clean_diode
0.35,3.369870572e-09,clean_diode
0.4,9.889603935e-09,clean_diode
0.45,3.026542573e-08,clean_diode
0.5,9.417262179e-08,clean_diode
0.55,2.948413977e-07,clean_diode
0.6,9.251710798e-07,clean_diode
0.65,2.905357166e-06,clean_diode
0.7,9.126358011e-06,clean_diode
0.75,2.867063513e-05,clean_diode
0.8,9.007236205e-05,clean_diode
