Voltage_V,Current_A,Trace
-1.2,-2.524030000e-07,photodiode_light
-1.15,-2.523030000e-07,photodiode_light
-1.1,-2.522030000e-07,photodiode_light
-1.05,-2.521030000e-07,photodiode_light
-1,-2.520030000e-07,photodiode_light
-0.95,-2.519030000e-07,photodiode_light
-0.9,-2.518030000e-07,photodiode_light
-0.85,-2.517030000e-07,photodiode_light
-0.8,-2.516030000e-07,photodiode_light
-0.75,-2.515030000e-07,photodiode_light
-0.7,-2.514030000e-07,photodiode_light
-0.65,-2.513030000e-07,photodiode_light
-0.6,-2.512030000e-07,photodiode_light
-0.55,-2.511030000e-07,photodiode_light
-0.5,-2.510029999e-07,photodiode_light
-0.45,-2.509029998e-07,photodiode_light
-0.4,-2.508029995e-07,photodiode_light
-0.35,-2.507029985e-07,photodiode_light
-0.3,-2.506029954e-07,photodiode_light
-0.25,-2.505029865e-07,photodiode_light
-0.2,-2.504029603e-07,photodiode_light
-0.15,-2.503028829e-07,photodiode_light
-0.1,-2.502026548e-07,photodiode_light
-0.05,-2.501019824e-07,photodiode_light
0,-2.500000000e-07,photodiode_light
0.05,-2.498941557e-07,photodiode_light
0.1,-2.497769262e-07,photodiode_light
0.15,-2.496261319e-07,photodiode_light
0.2,-2.493763854e-07,photodiode_light
0.25,-2.488349185e-07,photodiode_light
0.3,-2.474334316e-07,photodiode_light
0.35,-2.434965231e-07,photodiode_light
0.4,-2.320849483e-07,photodiode_light
0.45,-1.986373385e-07,photodiode_light
0.5,-1.002253807e-07,photodiode_light
0.55,1.897077180e-07,photodiode_light
0.6,1.044263544e-06,photodiode_light
0.65,3.563381424e-06,photodiode_light
0.7,1.098978819e-05,photodiode_light
0.75,3.288335415e-05,photodiode_light
0.8,9.742749556e-05,photodiode_light
0.85,2.877096318e-04,photodiode_light
0.9,8.486794592e-04,photodiode_light
