Voltage_V,Current_A,Trace
-1,-1.289263641e-08,noisy_nonideal
-0.95,-1.262726506e-08,noisy_nonideal
-0.9,-1.178943786e-08,noisy_nonideal
-0.85,-1.069526860e-08,noisy_nonideal
-0.8,-1.106964236e-08,noisy_nonideal
-0.75,-8.590941323e-09,noisy_nonideal
-0.7,-8.803571926e-09,noisy_nonideal
-0.65,-7.951373544e-09,noisy_nonideal
-0.6,-7.521218855e-09,noisy_nonideal
-0.55,-6.666746666e-09,noisy_nonideal
-0.5,-6.347314191e-09,noisy_nonideal
-0.45,-5.472749491e-09,noisy_nonideal
-0.4,-4.866439397e-09,noisy_nonideal
-0.35,-4.268890299e-09,noisy_nonideal
-0.3,-3.852142059e-09,noisy_nonideal
-0.25,-2.889243214e-09,noisy_nonideal
-0.2,-2.481920265e-09,noisy_nonideal
-0.15,-1.806521759e-09,noisy_nonideal
-0.1,-1.180687335e-09,noisy_nonideal
-0.05,-3.888711062e-10,noisy_nonideal
0,-2.487188317e-10,noisy_nonideal
0.05,8.416823016e-10,noisy_nonideal
0.1,1.342041718e-09,noisy_nonideal
0.15,1.745512255e-09,noisy_nonideal
0.2,2.928905587e-09,noisy_nonideal
0.25,3.725340665e-09,noisy_nonideal
0.3,4.761381074e-09,noisy_nonideal
0.35,6.540781444e-09,noisy_nonideal
0.4,1.071461637e-08,noisy_nonideal
0.45,1.939418387e-08,noisy_nonideal
0.5,4.364405118e-08,noisy_nonideal
0.55,8.746587969e-08,noisy_nonideal
0.6,2.166685137e-07,noisy_nonideal
0.65,4.534584066e-07,noisy_nonideal
0.7,1.210216350e-06,noisy_nonideal
0.75,3.048514130e-06,noisy_nonideal
0.8,6.960707287e-06,noisy_nonideal
0.85,1.577429177e-05,noisy_nonideal
0.9,2.800000000e-05,noisy_nonideal
0.95,2.800000000e-05,noisy_nonideal
1,2.800000000e-05,noisy_nonideal
