Fig.2c.fw.Voltage (V),Fig.2c.fw.J (mA/cm2),Fig.2c.rv.Voltage (V),Fig.2c.rv.J (mA/cm2),Fig.3b.Planar.Voltage (V),Fig.3b.Planar.J (mA/cm),Fig.3b.Nano.Voltage (V),Fig.3b.Nano.J (mA/cm),Fig.3b.Micro.Voltage (V),Fig.3b.Micro.J (mA/cm)
-0.2,-20.5018,1.2,12.81864,1.9,-17.89892,1.9,-22.21303,1.9,-18.74707
-0.19,-20.441,1.19,10.12746,1.89,-15.39418,1.89,-20.17127,1.89,-17.17031
-0.18,-20.4156,1.18,7.53818,1.88,-13.01177,1.88,-18.16725,1.88,-15.61936
-0.17,-20.3948,1.17,5.05084,1.87,-10.76997,1.87,-16.22442,1.87,-14.09895
-0.16,-20.3542,1.16,2.66398,1.86,-8.619328,1.86,-14.31881,1.86,-12.60842
-0.15,-20.323,1.15,0.390826,1.85,-6.622382,1.85,-12.48174,1.85,-11.14061
-0.14,-20.316,1.14,-1.76605,1.84,-4.751755,1.84,-10.70094,1.84,-9.704147
-0.13,-20.3186,1.13,-3.79542,1.83,-3.000066,1.83,-8.97829,1.83,-8.297942
-0.12,-20.3074,1.12,-5.70612,1.82,-1.367265,1.82,-7.319754,1.82,-6.930797
-0.11,-20.319,1.11,-7.47916,1.81,0.1470966,1.81,-5.725007,1.81,-5.594982
-0.1,-20.3148,1.1,-9.11226,1.8,1.564512,1.8,-4.191205,1.8,-4.286771
-0.09,-20.3026,1.09,-10.60806,1.79,2.887955,1.79,-2.723449,1.79,-3.017279
-0.08,-20.2898,1.08,-11.96324,1.78,4.108159,1.78,-1.325982,1.78,-1.780448
-0.07,-20.2908,1.07,-13.17694,1.77,5.2288,1.77,0.000237184,1.77,-0.5817743
-0.06,-20.2892,1.06,-14.25098,1.76,6.252538,1.76,1.249889,1.76,0.583265
-0.05,-20.2776,1.05,-15.19444,1.75,7.198571,1.75,2.445468,1.75,1.706954
-0.04,-20.2714,1.04,-16.00574,1.74,8.062838,1.74,3.568843,1.74,2.785071
-0.03,-20.2548,1.03,-16.7066,1.73,8.848424,1.73,4.623365,1.73,3.823571
-0.02,-20.2534,1.02,-17.3034,1.72,9.569861,1.72,5.620313,1.72,4.819227
-0.01,-20.26,1.01,-17.81016,1.71,10.22502,1.71,6.54523,1.71,5.766032
3.1225E-17,-20.2564,1,-18.225,1.7,10.79407,1.7,7.411399,1.7,6.671036
0.01,-20.2728,0.99,-18.5792,1.69,11.34005,1.69,8.218946,1.69,7.526449
0.02,-20.286,0.98,-18.85838,1.68,11.82748,1.68,8.968743,1.68,8.33797
0.03,-20.285,0.97,-19.0739,1.67,12.27748,1.67,9.665786,1.67,9.107891
0.04,-20.2818,0.96,-19.25212,1.66,12.67828,1.66,10.30921,1.66,9.827254
0.05,-20.2672,0.95,-19.40706,1.65,13.03566,1.65,10.90018,1.65,10.49221
0.06,-20.2472,0.94,-19.52944,1.64,13.36316,1.64,11.454,1.64,11.12606
0.07,-20.2458,0.93,-19.63548,1.63,13.65512,1.63,11.96279,1.63,11.71859
0.08,-20.2568,0.92,-19.71458,1.62,13.91642,1.62,12.42979,1.62,12.27432
0.09,-20.2642,0.91,-19.77304,1.61,14.1565,1.61,12.86477,1.61,12.78494
0.1,-20.2646,0.9,-19.83678,1.6,14.36934,1.6,13.26091,1.6,13.25107
0.11,-20.2576,0.89,-19.88438,1.59,14.55437,1.59,13.62164,1.59,13.68218
0.12,-20.2542,0.88,-19.91956,1.58,14.72666,1.58,13.95714,1.58,14.07405
0.13,-20.2582,0.87,-19.94312,1.57,14.87541,1.57,14.25975,1.57,14.44195
0.14,-20.2486,0.86,-19.96108,1.56,15.01647,1.56,14.5332,1.56,14.76864
0.15,-20.25,0.85,-19.97086,1.55,15.13626,1.55,14.78593,1.55,15.06179
0.16,-20.2518,0.84,-19.98346,1.54,15.2466,1.54,15.02177,1.54,15.33418
0.17,-20.247,0.83,-19.99774,1.53,15.3443,1.53,15.22337,1.53,15.57978
0.18,-20.2404,0.82,-20.0086,1.52,15.4328,1.52,15.41522,1.52,15.78695
0.19,-20.2348,0.81,-20.0102,1.51,15.5102,1.51,15.58593,1.51,15.97948
0.2,-20.2316,0.8,-20.0212,1.5,15.58218,1.5,15.73559,1.5,16.14625
0.21,-20.2358,0.79,-20.0398,1.49,15.64066,1.49,15.87187,1.49,16.2939
0.22,-20.2388,0.78,-20.0558,1.48,15.70311,1.48,15.99585,1.48,16.42928
0.23,-20.2374,0.77,-20.0578,1.47,15.75284,1.47,16.10657,1.47,16.54115
0.24,-20.22,0.76,-20.076,1.46,15.80285,1.46,16.19817,1.46,16.63547
0.25,-20.1994,0.75,-20.0864,1.45,15.84504,1.45,16.28949,1.45,16.72469
0.26,-20.1922,0.74,-20.094,1.44,15.88395,1.44,16.36545,1.44,16.79657
0.27,-20.1956,0.73,-20.1112,1.43,15.92244,1.43,16.42646,1.43,16.86135
0.28,-20.1972,0.72,-20.1148,1.42,15.95223,1.42,16.4885,1.42,16.91724
0.29,-20.198,0.71,-20.12,1.41,15.97942,1.41,16.53647,1.41,16.96896
0.3,-20.1898,0.7,-20.117,1.4,16.01875,1.4,16.58106,1.4,17.00894
0.31,-20.1794,0.69,-20.1112,1.39,16.04245,1.39,16.62278,1.39,17.04839
0.32,-20.1712,0.68,-20.1168,1.38,16.06816,1.38,16.6592,1.38,17.08607
0.33,-20.1698,0.67,-20.1238,1.37,16.09597,1.37,16.69261,1.37,17.11332
0.34,-20.1846,0.66,-20.1232,1.36,16.11611,1.36,16.7277,1.36,17.14551
0.35,-20.1976,0.65,-20.1138,1.35,16.13687,1.35,16.7519,1.35,17.16738
0.36,-20.1942,0.64,-20.1172,1.34,16.15967,1.34,16.77683,1.34,17.19463
0.37,-20.184,0.63,-20.1134,1.33,16.17572,1.33,16.80483,1.33,17.22076
0.38,-20.1794,0.62,-20.1278,1.32,16.20192,1.32,16.82501,1.32,17.24033
0.39,-20.1872,0.61,-20.1406,1.31,16.22251,1.31,16.84665,1.31,17.26053
0.4,-20.179,0.6,-20.1508,1.3,16.23961,1.3,16.87041,1.3,17.28613
0.41,-20.1788,0.59,-20.1554,1.29,16.25649,1.29,16.88705,1.29,17.30569
0.42,-20.1782,0.58,-20.1684,1.28,16.28087,1.28,16.90965,1.28,17.32089
0.43,-20.176,0.57,-20.184,1.27,16.29198,1.27,16.92921,1.27,17.34213
0.44,-20.1646,0.56,-20.178,1.26,16.30937,1.26,16.94564,1.26,17.35608
0.45,-20.1584,0.55,-20.1824,1.25,16.33579,1.25,16.96303,1.25,17.3743
0.46,-20.1536,0.54,-20.1768,1.24,16.3462,1.24,16.98552,1.24,17.39126
0.47,-20.159,0.53,-20.1804,1.23,16.3618,1.23,17.00208,1.23,17.40927
0.48,-20.1614,0.52,-20.1904,1.22,16.37519,1.22,17.01527,1.22,17.42738
0.49,-20.1476,0.51,-20.2028,1.21,16.39043,1.21,17.04017,1.21,17.4459
