1.Dark.Voltage_V,1.Dark.J_A,2.Illumination.Voltage_V,2.Illumination.J_A
2,0.05273,2,0.06813
1.973,0.05022,1.973,0.06513
1.947,0.0478,1.947,0.06217
1.92,0.04536,1.92,0.05926
1.893,0.04294,1.893,0.0564
1.867,0.04064,1.867,0.05359
1.84,0.03832,1.84,0.05084
1.813,0.03604,1.813,0.04814
1.787,0.03394,1.787,0.04551
1.76,0.03171,1.76,0.04293
1.733,0.02959,1.733,0.04041
1.707,0.02765,1.707,0.03798
1.68,0.02565,1.68,0.0356
1.653,0.02372,1.653,0.03329
1.627,0.02191,1.627,0.03106
1.6,0.02011,1.6,0.0289
1.573,0.0184,1.573,0.02681
1.547,0.01679,1.547,0.0248
1.52,0.01522,1.52,0.02287
1.493,0.01372,1.493,0.02104
1.467,0.01236,1.467,0.01929
1.44,0.01103,1.44,0.01763
1.413,0.00978,1.413,0.01606
1.387,0.00869,1.387,0.01457
1.36,0.00762,1.36,0.01317
1.333,0.00663,1.333,0.01186
1.307,0.00576,1.307,0.01065
1.28,0.00494,1.28,0.00952
1.253,0.0042,1.253,0.00849
1.227,0.00357,1.227,0.00754
1.2,0.00299,1.2,0.00668
1.173,0.00248,1.173,0.0059
1.147,0.00205,1.147,0.00519
1.12,0.00167,1.12,0.00456
1.093,0.00135,1.093,0.00399
1.067,0.00109,1.067,0.0035
1.04,8.63E-04,1.04,0.00306
1.013,6.76E-04,1.013,0.00268
0.987,5.28E-04,0.987,0.00234
0.96,4.05E-04,0.96,0.00205
0.933,3.08E-04,0.933,1.80E-03
0.907,2.33E-04,0.907,1.58E-03
0.88,1.73E-04,0.88,1.39E-03
0.853,1.28E-04,0.853,1.22E-03
0.827,9.37E-05,0.827,1.07E-03
0.8,6.75E-05,0.8,9.53E-04
0.773,4.81E-05,0.773,8.46E-04
0.747,3.46E-05,0.747,7.52E-04
0.72,2.41E-05,0.72,6.69E-04
0.693,1.67E-05,0.693,5.95E-04
0.667,1.15E-05,0.667,5.29E-04
0.64,7.78E-06,0.64,4.70E-04
0.613,5.20E-06,0.613,4.17E-04
0.587,3.49E-06,0.587,3.69E-04
0.56,2.28E-06,0.56,3.25E-04
0.533,1.48E-06,0.533,2.86E-04
